speed,dist,group
4,2,CTRL
4,10,CTRL
7,4,CTRL
7,22,CTRL
8,16,CTRL
9,10,CTRL
10,18,CTRL
10,26,CTRL
10,34,CTRL
11,17,CTRL
11,28,CTRL
12,14,CTRL
12,20,CTRL
12,24,CTRL
12,28,CTRL
13,26,CTRL
13,34,CTRL
13,34,CTRL
13,46,CTRL
14,26,CTRL
14,36,CTRL
14,60,CTRL
14,80,CTRL
15,20,CTRL
15,26,TRMT
15,54,TRMT
16,32,TRMT
16,40,TRMT
17,32,TRMT
17,40,TRMT
17,50,TRMT
18,42,TRMT
18,56,TRMT
18,76,TRMT
18,84,TRMT
19,36,TRMT
19,46,TRMT
19,68,TRMT
20,32,TRMT
20,48,TRMT
20,52,TRMT
20,56,TRMT
20,64,TRMT
22,66,TRMT
23,54,TRMT
24,70,TRMT
24,92,TRMT
24,93,TRMT
24,120,TRMT
25,85,TRMT
